speed,keyDown,keyUp,keyLeft,keyRight,timestamp,gazePointX,gazePointY,AOIHit,posX,posY,posZ,fixation,saccade,eyesNotFound,movementUnclassified,navigationLeft,navigationRight,navigationForward,eyeMovementType,timeElapsed
4.0,False,False,False,False,1900-01-01 14:28:44.450,-1.0,-1.0,2.0,-117.1021728515625,-10.360128402709961,167.44049072265625,False,False,True,False,False,False,False,2,0.0
4.0,False,False,False,False,1900-01-01 14:28:44.460,519.0,898.0,2.0,-117.07926940917969,-10.360143661499023,167.44049072265625,False,False,False,True,False,False,False,3,0.01
5.0,False,False,False,False,1900-01-01 14:28:44.480,520.0,893.0,2.0,-117.05561065673828,-10.360156059265137,167.4404754638672,False,False,False,True,False,False,False,3,0.03
5.0,False,False,False,False,1900-01-01 14:28:44.500,524.0,891.0,2.0,-117.03142547607422,-10.360154151916504,167.44044494628906,False,False,False,True,False,False,False,3,0.05
5.0,False,False,False,False,1900-01-01 14:28:44.510,-1.0,-1.0,2.0,-117.00634002685547,-10.36015510559082,167.44044494628906,False,False,True,False,False,False,False,2,0.06
5.0,False,False,False,False,1900-01-01 14:28:44.530,513.0,839.0,2.0,-116.98087310791016,-10.360133171081543,167.4404296875,False,False,False,True,False,False,False,3,0.08
5.0,False,False,False,False,1900-01-01 14:28:44.550,519.0,833.0,2.0,-116.95491790771484,-10.360106468200684,167.4404296875,False,False,False,True,False,False,False,3,0.1
5.0,False,False,False,False,1900-01-01 14:28:44.560,-1.0,-1.0,2.0,-116.92861938476562,-10.360071182250977,167.44039916992188,False,False,True,False,False,False,False,2,0.11
6.0,False,False,False,False,1900-01-01 14:28:44.580,542.0,847.0,2.0,-116.90198516845703,-10.360028266906738,167.4403839111328,False,False,False,True,False,False,False,3,0.13
6.0,False,False,False,False,1900-01-01 14:28:44.600,567.0,830.0,2.0,-116.87503051757812,-10.35998249053955,167.4403839111328,False,False,False,True,False,False,False,3,0.15
4.0,False,False,False,False,1900-01-01 14:28:45.000,-1.0,-1.0,2.0,-116.3283462524414,-10.35964584350586,167.44020080566406,False,False,True,False,False,False,False,2,0.55
4.0,False,False,False,False,1900-01-01 14:28:45.030,-1.0,-1.0,2.0,-116.29452514648438,-10.359928131103516,167.44021606445312,False,False,True,False,False,False,False,2,0.58
4.0,False,False,False,False,1900-01-01 14:28:45.050,-1.0,-1.0,2.0,-116.27763366699219,-10.360027313232422,167.44021606445312,False,False,True,False,False,False,False,2,0.6
4.0,False,False,False,False,1900-01-01 14:28:45.060,-1.0,-1.0,2.0,-116.26072692871094,-10.36009693145752,167.44021606445312,False,False,True,False,False,False,False,2,0.61
4.0,False,False,False,False,1900-01-01 14:28:45.080,548.0,796.0,2.0,-116.24369812011719,-10.360135078430176,167.44021606445312,True,False,False,False,False,False,False,0,0.63
4.0,False,False,False,False,1900-01-01 14:28:45.100,544.0,767.0,2.0,-116.22673034667969,-10.360142707824707,167.44021606445312,True,False,False,False,False,False,False,0,0.65
4.0,False,False,False,False,1900-01-01 14:28:45.110,546.0,773.0,2.0,-116.20975494384766,-10.36011791229248,167.44021606445312,True,False,False,False,False,False,False,0,0.66
4.0,False,False,False,False,1900-01-01 14:28:45.130,545.0,777.0,2.0,-116.19271850585938,-10.360066413879395,167.44021606445312,True,False,False,False,False,False,False,0,0.68
4.0,False,False,False,False,1900-01-01 14:28:45.150,548.0,785.0,2.0,-116.1756591796875,-10.359996795654297,167.44021606445312,True,False,False,False,False,False,False,0,0.7
4.0,False,False,False,False,1900-01-01 14:28:45.160,548.0,804.0,2.0,-116.1585693359375,-10.359911918640137,167.44021606445312,True,False,False,False,False,False,False,0,0.71
4.0,False,False,False,False,1900-01-01 14:28:45.180,552.0,805.0,2.0,-116.14146423339844,-10.359817504882812,167.44021606445312,True,False,False,False,False,False,False,0,0.73
4.0,False,False,False,False,1900-01-01 14:28:45.200,585.0,814.0,2.0,-116.12431335449219,-10.359720230102539,167.44021606445312,True,False,False,False,False,False,False,0,0.75
4.0,False,False,False,False,1900-01-01 14:28:45.210,-1.0,-1.0,2.0,-116.10713958740234,-10.359623908996582,167.44021606445312,False,False,True,False,False,False,False,2,0.76
4.0,False,False,False,False,1900-01-01 14:28:45.230,-1.0,-1.0,-1.0,-116.0899658203125,-10.35953140258789,167.44021606445312,False,False,True,False,False,False,False,2,0.78
4.0,False,False,False,False,1900-01-01 14:28:45.250,-1.0,-1.0,-1.0,-116.07276153564453,-10.359451293945312,167.44021606445312,False,False,True,False,False,False,False,2,0.8
4.0,False,False,False,False,1900-01-01 14:28:45.260,-1.0,-1.0,-1.0,-116.05558776855469,-10.359381675720215,167.44021606445312,False,False,True,False,False,False,False,2,0.81
4.0,False,False,False,False,1900-01-01 14:28:45.280,-1.0,-1.0,-1.0,-116.03828430175781,-10.35932731628418,167.44021606445312,False,False,True,False,False,False,False,2,0.83
4.0,False,False,False,False,1900-01-01 14:28:45.300,-1.0,-1.0,-1.0,-116.02112579345703,-10.359288215637207,167.44021606445312,False,False,True,False,False,False,False,2,0.85
4.0,False,False,False,False,1900-01-01 14:28:45.310,-1.0,-1.0,-1.0,-116.00395202636719,-10.359268188476562,167.44021606445312,False,False,True,False,False,False,False,2,0.86
4.0,False,False,False,False,1900-01-01 14:28:45.330,-1.0,-1.0,-1.0,-115.98684692382812,-10.359264373779297,167.44021606445312,False,False,True,False,False,False,False,2,0.88
4.0,False,False,False,False,1900-01-01 14:28:45.350,951.0,349.0,-1.0,-115.9697265625,-10.359275817871094,167.44021606445312,False,False,False,True,False,False,False,3,0.9
4.0,False,False,False,False,1900-01-01 14:28:45.360,-1.0,-1.0,-1.0,-115.95267486572266,-10.359301567077637,167.44021606445312,False,False,True,False,False,False,False,2,0.91
4.0,False,False,False,False,1900-01-01 14:28:45.380,1019.0,270.0,-1.0,-115.93565368652344,-10.359336853027344,167.44021606445312,True,False,False,False,False,False,False,0,0.93
4.0,False,False,False,False,1900-01-01 14:28:45.400,1023.0,235.0,-1.0,-115.91865539550781,-10.359382629394531,167.44021606445312,True,False,False,False,False,False,False,0,0.95
4.0,False,False,False,False,1900-01-01 14:28:45.410,1021.0,227.0,-1.0,-115.90169525146484,-10.35943603515625,167.44021606445312,True,False,False,False,False,False,False,0,0.96
4.0,False,False,False,False,1900-01-01 14:28:45.430,1014.0,215.0,-1.0,-115.88477325439453,-10.359493255615234,167.44021606445312,True,False,False,False,False,False,False,0,0.98
4.0,False,False,False,False,1900-01-01 14:28:45.450,1011.0,208.0,-1.0,-115.86787414550781,-10.359551429748535,167.44021606445312,True,False,False,False,False,False,False,0,1.0
4.0,False,False,False,False,1900-01-01 14:28:45.460,1036.0,213.0,-1.0,-115.85101318359375,-10.359607696533203,167.44021606445312,True,False,False,False,False,False,False,0,1.01
4.0,False,False,False,False,1900-01-01 14:28:45.480,-1.0,-1.0,-1.0,-115.83414459228516,-10.359663009643555,167.44021606445312,False,False,True,False,False,False,False,2,1.03
4.0,False,False,False,False,1900-01-01 14:28:45.500,1022.0,206.0,-1.0,-115.81731414794922,-10.359710693359375,167.44021606445312,False,False,False,True,False,False,False,3,1.05
4.0,False,False,False,False,1900-01-01 14:28:45.510,-1.0,-1.0,-1.0,-115.8005142211914,-10.359755516052246,167.44021606445312,False,False,True,False,False,False,False,2,1.06
4.0,False,False,False,False,1900-01-01 14:28:45.530,991.0,201.0,-1.0,-115.78373718261719,-10.359789848327637,167.44021606445312,True,False,False,False,False,False,False,0,1.08
4.0,False,False,False,False,1900-01-01 14:28:45.550,993.0,195.0,-1.0,-115.7669677734375,-10.359817504882812,167.44021606445312,True,False,False,False,False,False,False,0,1.1
4.0,False,False,False,False,1900-01-01 14:28:45.560,1000.0,202.0,-1.0,-115.75025177001953,-10.359834671020508,167.44021606445312,True,False,False,False,False,False,False,0,1.11
4.0,False,False,False,False,1900-01-01 14:28:45.580,994.0,188.0,-1.0,-115.73352813720703,-10.359846115112305,167.44021606445312,True,False,False,False,False,False,False,0,1.13
4.0,False,False,False,False,1900-01-01 14:28:45.600,997.0,190.0,-1.0,-115.71684265136719,-10.359848022460938,167.44021606445312,True,False,False,False,False,False,False,0,1.15
4.0,True,False,False,False,1900-01-01 14:28:45.610,999.0,189.0,-1.0,-115.70015716552734,-10.359843254089355,167.44021606445312,True,False,False,False,False,False,False,0,1.16
4.0,True,False,False,False,1900-01-01 14:28:45.630,999.0,166.0,-1.0,-115.68328857421875,-10.359845161437988,167.44021606445312,True,False,False,False,False,False,False,0,1.18
4.0,True,False,False,False,1900-01-01 14:28:45.650,989.0,180.0,-1.0,-115.6673812866211,-10.359785079956055,167.44021606445312,True,False,False,False,False,False,False,0,1.2
4.0,True,False,False,False,1900-01-01 14:28:45.670,981.0,192.0,-1.0,-115.65177154541016,-10.359715461730957,167.44021606445312,True,False,False,False,False,False,False,0,1.22
3.0,True,False,False,False,1900-01-01 14:28:45.680,985.0,192.0,-1.0,-115.63652038574219,-10.359638214111328,167.44021606445312,True,False,False,False,False,False,False,0,1.23
3.0,True,False,False,False,1900-01-01 14:28:45.700,1030.0,196.0,-1.0,-115.62223052978516,-10.359517097473145,167.44021606445312,True,False,False,False,False,False,False,0,1.25
3.0,False,False,False,False,1900-01-01 14:28:45.720,1033.0,193.0,-1.0,-115.60896301269531,-10.359383583068848,167.44021606445312,True,False,False,False,False,False,False,0,1.27
3.0,False,False,False,False,1900-01-01 14:28:45.730,1032.0,192.0,-1.0,-115.59721374511719,-10.359222412109375,167.44021606445312,True,False,False,False,False,False,False,0,1.28
3.0,False,False,False,False,1900-01-01 14:28:45.750,1030.0,196.0,-1.0,-115.5860595703125,-10.359098434448242,167.44021606445312,True,False,False,False,False,False,False,0,1.3
3.0,False,False,False,False,1900-01-01 14:28:45.770,1026.0,200.0,-1.0,-115.5758056640625,-10.358987808227539,167.44021606445312,True,False,False,False,False,False,False,0,1.32
2.0,False,False,False,False,1900-01-01 14:28:45.780,1024.0,200.0,-1.0,-115.56632995605469,-10.358899116516113,167.44021606445312,True,False,False,False,False,False,False,0,1.33
2.0,False,False,False,False,1900-01-01 14:28:45.800,1014.0,204.0,-1.0,-115.55717468261719,-10.358864784240723,167.44021606445312,True,False,False,False,False,False,False,0,1.35
