speed,keyDown,keyUp,keyLeft,keyRight,timestamp,gazePointX,gazePointY,AOIHit,posX,posY,posZ,fixation,saccade,eyesNotFound,movementUnclassified,navigationLeft,navigationRight,navigationForward,eyeMovementType,timeElapsed,fixationSize
0.0,False,False,False,False,1900-01-01 17:57:10.940,833.0,346.0,2.0,-117.4100341796875,-10.359648704528809,167.4404296875,True,False,False,False,False,False,False,0,0.0,1
0.0,False,False,False,False,1900-01-01 17:57:10.960,834.0,345.0,2.0,-117.4100341796875,-10.359648704528809,167.4404296875,True,False,False,False,False,False,False,0,0.02,2
0.0,False,False,False,False,1900-01-01 17:57:10.980,834.0,346.0,2.0,-117.4100341796875,-10.359648704528809,167.4404296875,True,False,False,False,False,False,False,0,0.04,3
0.0,False,False,False,False,1900-01-01 17:57:10.990,834.0,346.0,2.0,-117.4100341796875,-10.359647750854492,167.4404296875,True,False,False,False,False,False,False,0,0.05,4
0.0,False,False,False,False,1900-01-01 17:57:11.010,835.0,346.0,2.0,-117.4100341796875,-10.359648704528809,167.4404296875,True,False,False,False,False,False,False,0,0.07,5
0.0,False,False,False,False,1900-01-01 17:57:11.030,835.0,347.0,2.0,-117.4100341796875,-10.359649658203125,167.4404296875,True,False,False,False,False,False,False,0,0.09,6
0.0,False,False,False,False,1900-01-01 17:57:11.040,835.0,346.0,2.0,-117.4100341796875,-10.359648704528809,167.4404296875,True,False,False,False,False,False,False,0,0.1,7
0.0,False,False,False,False,1900-01-01 17:57:11.060,834.0,347.0,2.0,-117.4100341796875,-10.359648704528809,167.4404296875,True,False,False,False,False,False,False,0,0.12,8
0.0,False,False,False,False,1900-01-01 17:57:11.080,835.0,346.0,2.0,-117.4100341796875,-10.359648704528809,167.4404296875,True,False,False,False,False,False,False,0,0.14,9
0.0,False,False,False,False,1900-01-01 17:57:11.090,835.0,346.0,2.0,-117.4100341796875,-10.359647750854492,167.4404296875,True,False,False,False,False,False,False,0,0.15,10
0.0,False,False,False,False,1900-01-01 17:57:11.110,835.0,346.0,2.0,-117.4100341796875,-10.359647750854492,167.4404296875,True,False,False,False,False,False,False,0,0.17,11
0.0,False,False,False,False,1900-01-01 17:57:11.130,836.0,347.0,2.0,-117.4100341796875,-10.359647750854492,167.4404296875,True,False,False,False,False,False,False,0,0.19,12
0.0,False,False,False,False,1900-01-01 17:57:11.480,837.0,347.0,2.0,-117.4100341796875,-10.359648704528809,167.4404296875,True,False,False,False,False,False,False,0,0.54,13
0.0,False,False,False,False,1900-01-01 17:57:11.490,838.0,346.0,2.0,-117.4100341796875,-10.359648704528809,167.4404296875,True,False,False,False,False,False,False,0,0.55,14
0.0,False,False,False,False,1900-01-01 17:57:11.510,839.0,348.0,-1.0,-117.4100341796875,-10.359647750854492,167.4404296875,True,False,False,False,False,False,False,0,0.57,15
0.0,False,False,False,False,1900-01-01 17:57:11.530,840.0,349.0,-1.0,-117.4100341796875,-10.359647750854492,167.4404296875,True,False,False,False,False,False,False,0,0.59,16
0.0,False,False,False,False,1900-01-01 17:57:11.540,841.0,349.0,-1.0,-117.4100341796875,-10.359647750854492,167.4404296875,True,False,False,False,False,False,False,0,0.6,17
0.0,False,False,False,False,1900-01-01 17:57:11.560,841.0,351.0,-1.0,-117.4100341796875,-10.359648704528809,167.4404296875,True,False,False,False,False,False,False,0,0.62,18
0.0,False,False,False,False,1900-01-01 17:57:11.580,841.0,350.0,-1.0,-117.4100341796875,-10.359647750854492,167.4404296875,True,False,False,False,False,False,False,0,0.64,19
0.0,False,False,False,False,1900-01-01 17:57:11.590,841.0,351.0,-1.0,-117.4100341796875,-10.359647750854492,167.4404296875,True,False,False,False,False,False,False,0,0.65,20
0.0,False,False,False,False,1900-01-01 17:57:11.610,841.0,349.0,-1.0,-117.4100341796875,-10.359647750854492,167.4404296875,True,False,False,False,False,False,False,0,0.67,21
0.0,False,False,False,False,1900-01-01 17:57:11.630,841.0,349.0,-1.0,-117.41002655029297,-10.359647750854492,167.4404296875,True,False,False,False,False,False,False,0,0.69,22
0.0,False,False,False,False,1900-01-01 17:57:11.640,842.0,349.0,-1.0,-117.4100341796875,-10.359647750854492,167.4404296875,True,False,False,False,False,False,False,0,0.7,23
0.0,False,False,False,False,1900-01-01 17:57:11.660,842.0,349.0,-1.0,-117.4100341796875,-10.359647750854492,167.4404296875,True,False,False,False,False,False,False,0,0.72,24
0.0,False,False,False,False,1900-01-01 17:57:11.680,842.0,349.0,-1.0,-117.4100341796875,-10.359647750854492,167.4404296875,True,False,False,False,False,False,False,0,0.74,25
0.0,False,False,False,False,1900-01-01 17:57:11.690,842.0,349.0,-1.0,-117.4100341796875,-10.359647750854492,167.4404296875,True,False,False,False,False,False,False,0,0.75,26
0.0,False,False,False,False,1900-01-01 17:57:11.710,842.0,349.0,-1.0,-117.41004180908203,-10.359648704528809,167.4404296875,True,False,False,False,False,False,False,0,0.77,27
0.0,False,False,False,False,1900-01-01 17:57:11.730,841.0,349.0,-1.0,-117.41002655029297,-10.359647750854492,167.4404296875,True,False,False,False,False,False,False,0,0.79,28
